关键词	百度搜索量	百度指数	百度周指数	移动指数	移动周指数	整体指数	整体周指数	搜狗指数	周指数	360相关页	百度相关页	首页数	广告	KR	KPI	难度	来源
玛卡	11900	3072	21504	5517	38619	8589	60123	0	21504	0	20100000	60	0	6	1.2	较难	批量查询
玛卡的功效	4300	809	5663	1615	11305	2424	16968	0	5663	0	13700000	54	0	6	1.3	较难	批量查询
玛卡怎么吃	1400	0	0	0	0	0	0	0	0	0	5750000	15	0	3	2	较易	批量查询
玛卡价格	970	102	714	1925	13475	2027	14189	0	714	0	20400000	41	0	5	1.3	较难	批量查询
玛卡是什么	840	311	2177	1640	11480	1951	13657	0	2177	0	2440000	22	0	3	1.9	较易	批量查询
秘鲁玛卡	810	242	1694	321	2247	563	3941	0	1694	0	3780000	35	0	4	1.5	较易	批量查询
玛卡官网	590	151	1057	1529	10703	1680	11760	0	1057	0	6420000	78	0	7	0.9	难	批量查询
玛卡益康片	580	181	1267	162	1134	343	2401	0	1267	0	1050000	18	0	3	1.8	较易	批量查询
玛卡真的有效果吗	460	0	0	0	0	0	0	0	0	0	1530000	7	0	2	2.3	容易	批量查询
玛卡果	280	0	0	0	0	0	0	0	0	0	1070000	27	0	4	1.3	较易	批量查询
秘鲁玛卡效果怎么样	260	0	0	0	0	0	0	0	0	0	2120000	14	0	3	1.6	较易	批量查询
玛卡益康咀嚼片	210	0	0	0	0	0	0	0	0	0	1540000	24	0	4	1.3	较易	批量查询
谁吃过玛卡怎么样	210	0	0	0	0	0	0	0	0	0	6330000	8	0	3	1.6	较易	批量查询
玛卡益康	200	129	903	1508	10556	1637	11459	0	903	0	2750000	20	0	3	1.6	较易	批量查询
玛卡的功效与作用	200	0	0	0	0	0	0	0	0	0	840000	32	0	4	1.3	较易	批量查询
玛卡片	190	147	1029	121	847	268	1876	0	1029	0	6710000	19	0	3	1.5	较易	批量查询
玛卡价格多少钱一克	180	0	0	0	0	0	0	0	0	0	106000	22	0	3	1.5	较易	批量查询
黑玛卡	170	0	0	0	0	0	0	0	0	0	1300000	12	0	3	1.5	较易	批量查询
云南玛卡价格	167	0	0	0	0	0	0	0	0	0	1680000	16	0	3	1.5	较易	批量查询
秘鲁玛卡官网	150	96	672	1465	10255	1561	10927	0	672	0	2720000	37	0	4	1.2	较易	批量查询
玛卡西尼	149	125	875	110	770	235	1645	0	875	0	408000	11	0	2	2.1	容易	批量查询
玛卡的副作用	140	0	0	0	0	0	0	0	0	0	9700000	25	0	4	1.2	较易	批量查询
玛卡瑞纳	140	0	0	0	0	0	0	0	0	0	151000	9	0	2	2.1	容易	批量查询
玛卡益康片是真的吗	120	0	0	0	0	0	0	0	0	0	201000	45	0	5	1	较难	批量查询
玛卡怎么吃效果好	120	0	0	0	0	0	0	0	0	0	3610000	38	0	5	1	较难	批量查询
玛卡的价格	120	0	0	0	0	0	0	0	0	0	618000	45	0	5	1	较难	批量查询
玛卡的作用	110	0	0	0	0	0	0	0	0	0	1050000	24	0	3	1.5	较易	批量查询
云南玛卡	105	0	0	0	0	0	0	0	0	0	13000000	34	0	5	1	较难	批量查询
